日付け,終値,始値,高値,安値,出来高,前日比%
2020年4月25日,"427,001","808,353","828,870","801,754",4.09K,0.60%
2020年4月24日,"446,132","805,725","820,062","798,000",5.19K,0.42%
2020年4月23日,"425,000","770,246","826,316","760,700",9.35K,4.51%
2020年4月22日,"430,120","740,881","773,360","738,000",6.27K,3.96%
2020年4月21日,"480,984","738,350","751,281","732,463",6.13K,0.34%
2020年4月20日,"482,258","768,200","779,888","730,205",8.20K,-3.89%
2020年4月19日,"451,333","781,254","782,935","761,516",3.25K,-1.67%
2020年4月18日,"471,031","758,043","784,999","756,789",4.06K,3.07%
2020年4月17日,"466,647","768,443","772,398","753,459",5.00K,-1.36%
2020年4月16日,"436,430","713,829","777,700","700,000",11.48K,7.65%
2020年4月15日,"441,161","738,259","744,722","711,529",7.02K,-3.31%
2020年4月14日,"418,970","739,986","749,995","730,070",6.25K,-0.16%
2020年4月13日,"389,259","751,793","751,793","716,841",9.34K,-1.65%
2020年4月12日,"381,291","749,585","784,000","739,552",4.52K,0.29%
2020年4月11日,"383,960","746,887","757,646","737,500",3.30K,0.35%
2020年4月10日,"398,070","793,267","794,730","734,932",7.59K,-5.83%
2020年4月9日,"387,445","803,139","804,350","777,777",5.90K,-1.23%
2020年4月8日,"380,145","784,414","809,984","778,686",6.82K,2.39%
2020年4月7日,"388,669","801,357","814,480","772,521",9.97K,-2.11%
2020年4月6日,"371,234","737,468","802,999","736,902",10.83K,8.66%
2020年4月5日,"362,244","746,176","749,580","727,000",4.23K,-1.17%
2020年4月4日,"360,451","732,900","760,000","724,696",6.02K,1.81%
2020年4月3日,"362,693","735,176","765,000","718,103",9.19K,-0.31%
2020年4月2日,"394,477","714,987","777,986","707,150",11.12K,2.82%
2020年4月1日,"412,597","691,824","719,500","662,191",7.94K,3.35%
2020年3月31日,"413,390","693,221","709,000","689,757",6.80K,-0.10%
2020年3月30日,"453,368","634,168","714,000","632,419",10.46K,9.23%
2020年3月29日,"426,956","677,000","679,789","633,700",6.84K,-6.35%
2020年3月28日,"442,870","690,539","690,999","657,102",8.86K,-1.96%
2020年3月27日,"438,405","737,681","749,738","683,221",7.60K,-6.39%
2020年3月26日,"445,237","741,720","753,090","717,257",7.81K,-0.54%
2020年3月25日,"417,999","752,500","776,066","721,000",11.40K,-1.43%
2020年3月24日,"424,047","719,267","758,281","706,009",14.06K,4.59%
2020年3月23日,"399,400","647,261","725,490","635,574",15.31K,11.13%
2020年3月22日,"429,351","688,958","712,000","642,575",10.61K,-6.03%
2020年3月21日,"413,249","690,005","716,036","653,804",12.40K,-0.21%
2020年3月20日,"423,421","692,529","766,573","644,436",18.41K,-0.30%
2020年3月19日,"406,995","588,404","716,310","576,470",17.77K,17.70%
2020年3月18日,"419,299","579,625","589,000","546,370",13.51K,1.51%
2020年3月17日,"417,760","547,160","601,010","535,794",19.86K,5.95%
