日付け,終値,始値,高値,安値,出来高,前日比%
2018年8月18日,"1,253,271","729,042","733,000","699,171",4.90K,-2.75%
2018年8月17日,"1,174,208","703,784","730,000","700,295",8.23K,3.59%
2018年8月16日,"1,192,787","693,135","719,000","687,540",8.75K,1.54%
2018年8月15日,"1,184,018","689,388","730,998","688,515",12.26K,0.54%
2018年8月14日,"1,241,698","695,829","696,620","655,120",11.94K,-0.93%
2018年8月13日,"1,244,183","701,388","721,649","685,000",9.43K,-0.79%
2018年8月12日,"1,232,000","692,545","715,830","684,036",7.75K,1.37%
2018年8月11日,"1,248,210","685,418","721,999","672,003",8.13K,0.96%
2018年8月10日,"1,238,888","727,001","731,200","670,200",11.71K,-5.75%
2018年8月9日,"1,261,304","696,036","735,229","690,400",9.86K,4.47%
2018年8月8日,"1,216,669","748,608","748,608","676,000",12.78K,-7.02%
2018年8月7日,"1,237,245","771,103","795,000","745,098",7.62K,-2.92%
2018年8月6日,"1,260,576","783,055","796,333","760,006",7.18K,-1.47%
2018年8月5日,"1,256,372","780,152","786,520","765,674",5.09K,0.32%
2018年8月4日,"1,264,963","824,084","830,585","766,890",6.45K,-5.30%
2018年8月3日,"1,269,993","841,000","841,000","813,502",6.83K,-2.05%
2018年8月2日,"1,305,300","847,776","858,702","832,240",6.46K,-0.80%
2018年8月1日,"1,261,745","861,916","865,000","831,118",8.62K,-1.65%
2018年7月31日,"1,249,355","902,578","903,034","851,440",9.98K,-4.50%
2018年7月30日,"1,254,681","907,870","914,000","866,454",8.17K,-0.57%
2018年7月29日,"1,222,031","909,999","915,930","901,998",3.97K,-0.22%
2018年7月28日,"1,237,485","908,151","911,740","894,001",4.61K,0.18%
2018年7月27日,"1,235,514","878,954","924,000","861,000",10.14K,3.32%
2018年7月26日,"1,246,899","904,189","919,423","870,001",8.32K,-2.79%
2018年7月25日,"1,246,811","931,992","942,530","886,599",9.91K,-2.98%
